yyyymm,600381.SH,600446.SH,600155.SH,600228.SH,600330.SH,600192.SH,600566.SH,600200.SH,600539.SH,600398.SH
201001,,,,,,,,,,
201002,0.05485893,0.00520833,0.07956989,0.11082138,0.07564297,0.15018657,0.12027833,0.11603376,-0.0253025,0.08379888
201003,0.05349183,0.05181347,0.00996016,0.11384977,0.10126582,-0.0332522,0.08695652,0.16068053,0.0214447,0.12371134
201004,-0.0606488,-0.0218156,-0.0729783,-0.0779768,-0.0063857,-0.1174497,-0.0653061,0.0276873,-0.1226519,-0.148318
201005,-0.1771772,-0.2431655,-0.1170213,-0.1028571,0.17609254,-0.1026616,-0.29869,-0.0316957,-0.1108312,-0.1059246
201006,-0.120438,-0.0446768,-0.1060241,-0.133758,-0.1191257,-0.0773305,-0.1332503,-0.1636661,-0.1359773,-0.126506
201007,0.15145228,0.08656716,0.14016173,0.17941176,0.04218362,0.05396096,0.17097701,0.14677104,0.18852459,0.11034483
201008,0.12072072,0.09798535,0,0.14713217,0.21190476,0.0708061,0.1006135,0.06825939,0.09931034,0.07660455
201009,0.01768489,0.08173478,0,0.10978261,0.13948919,-0.0417091,0.05574136,-0.0239617,0.01129235,-0.0115385
201010,0.16745656,0.17424827,0,0.07639569,0.30689655,0.08704883,0.02851109,-0.0687398,0.11290323,-0.0038911
201011,0.25169147,-0.0623769,0,-0.0272975,0.11675462,-0.0517578,0.10061602,0.42355009,-0.0234114,0.12304688
201012,-0.052973,-0.0168067,0,-0.0561272,0.02126403,-0.0113285,-0.1072761,-0.1679012,-0.0205479,0.00521739
201101,-0.0936073,-0.0719373,0.17257683,0.00792864,-0.1920185,-0.0958333,0.14838036,-0.0519288,0.13986014,-0.0986159
201102,0.06171285,0.08442057,0.03225806,0.06096362,0.20329277,0.09792627,0.07097361,0.15023474,0.18711656,0.08829175
201103,0.03558719,0.01415428,0.01367188,0.1278962,0.04640095,0.04931794,0.04248088,0.79863946,0.0327304,0.15873016
201104,0.0790378,-0.1081647,0.09248555,-0.2703369,-0.2086413,-0.1,-0.1230644,-0.0204236,-0.0517098,-0.1400304
201105,-0.0552017,-0.1095462,-0.0035273,-0.0720721,-0.1034483,-0.0666667,0,-0.1413127,-0.1354442,-0.1026549
201106,0.06966292,0.08084359,0.1380531,0.08737864,0.00400641,0.00357143,0,0.11241007,0.37741607,0.06311637
201107,0.14390756,0.28373984,-0.0388802,0.34486607,0.01516361,-0.0308422,-0.0130112,-0.0412288,-0.2621861,0.03896104
201108,-0.2754821,-0.0658645,-0.0906149,-0.0871369,-0.1194969,0.05752754,-0.0310734,-0.0716695,-0.1481481,-0.0482143
201109,-0.1901141,-0.5566102,-0.0818505,0.12636364,-0.1589286,0.00462963,-0.0602527,-0.1444142,-0.1797885,-0.0938086
201110,0.08607199,0.01681957,-0.0174419,0.04116223,0.01804671,-0.1221198,-0.0051706,0.09978769,-0.0286533,0.01863354
201111,-0.0634006,0.0406015,-0.0433925,0.17674419,-0.0385819,-0.0406824,-0.0706861,0.1003861,-0.0914454,-0.0914634
201112,-0.1230769,-0.1098266,-0.2185567,-0.5638999,-0.1908894,-0.0341997,-0.2852349,-0.2017544,-0.2857143,-0.1700224
201201,0.1122807,-0.0681818,0.13984169,0.60876133,0.03887399,-0.1898017,0.05946792,-0.0527473,0.12954545,-0.032345
201202,0.26340694,0.1358885,0.14583333,0.01220657,0.14322581,0.08391608,0.25258493,0.14733179,0.09859155,0.19777159
201203,-0.0811486,-0.0674847,-0.1676768,0.10296846,-0.1512415,-0.016129,-0.1214623,-0.0808898,-0.1575092,-0.1046512
201204,0.19836957,0.11842105,0.16747573,-0.0437342,0.06117021,0.05409836,0.08053691,0.04620462,0.12391304,0.11948052
201205,-0.4115646,0.01617647,-0.1517672,0.11961302,0.07769424,-0.0124417,0.09813665,0.04100946,0.08317215,-0.0185615
201206,-0.2543353,-0.146165,-0.0367647,0.136685,-0.1825581,-0.0929134,-0.1278281,-0.0747475,-0.1214286,-0.1182033
201207,0.04651163,-0.0322034,-0.2722646,-0.2480995,-0.2347084,-0.0850694,-0.2191958,-0.1135371,-0.1463415,-0.0938338
201208,0.14567901,0.14886165,0.11538462,0.15349265,0.01858736,0.0455408,0.12126246,-0.0480296,0.02142857,0.0147929
201209,-0.0237069,-0.0396341,-0.0407524,0.10438247,0.03649635,-0.0018149,-0.0340741,-0.0349288,0,0.01166181
201210,-0.1346578,0.09365079,0.11764706,0.01010101,-0.0440141,0.04,-0.0030675,0.00670241,0.13752914,0.05475504
201211,0.2244898,-0.1320755,-0.0847953,-0.1364286,-0.1767956,-0.1451049,-0.1323077,-0.1611185,-0.102459,-0.0464481
201212,-0.11875,0.11705686,0.03514377,0.22332506,0.18120805,0.10633947,0.17375887,0.14285714,0.35388128,0.06590258
201301,0.0070922,0.13173653,-0.0216049,0.32251521,0.01515152,0.03696858,0.0347432,0.09722222,0.00168634,0.03763441
201302,-0.0539906,0.19973545,0.05047319,0.43149284,0.00373134,0.03386809,0.01313869,0.0721519,0.03030303,-0.015544
201303,-0.3449132,0.00551268,0.11711712,-0.1996429,-0.0185874,0.0137931,0.04610951,0.17119244,-0.0114379,0.02368421
201304,-0.219697,-0.0054825,-0.1129032,0.59393128,-0.1060606,0.03911565,0.09366391,0.21975806,-0.0694215,-0.1208226
201305,0.2184466,0.20176406,0.05454545,-0.0335946,0.22033898,0.14075286,0.02644836,0.40826446,0.03374778,0.07309942
201306,-0.2111554,0.06880734,-0.1925287,-0.0674971,-0.1805556,-0.0373027,0,-0.0821596,-0.2216495,-0.1553134
201307,0.05050505,0.21459227,0.14590747,-0.1230196,0.23516949,0.12071535,0,-0.0959079,0.10154525,0
201308,0,-0.0325088,0.20186335,-0.036486,-0.0428816,-0.0518617,0.91042945,-0.1096181,0.0741483,0
201309,0,-0.0226443,-0.1395349,0.12095588,0.03405018,-0.0448808,0.03468208,-0.0635425,0.13246269,0.78387097
201310,0,0.02615845,0.06306306,-0.0898655,0.02426343,0.030837,-0.113594,-0.0135708,-0.0955519,-0.0379747
